,CustomerID,Year_Month,Amount
0,16446,2011-12-01,168469.6
1,12346,2011-01-01,77183.6
2,17450,2011-09-01,75412.64
3,18102,2011-10-01,52681.27
4,18102,2011-09-01,49622.18
5,18102,2011-06-01,41959.44
6,14646,2011-08-01,40327.81
7,14646,2011-10-01,39995.95
8,15098,2011-06-01,39916.5
9,12931,2011-08-01,28610.0
10,14646,2011-05-01,28408.14
11,17450,2011-11-01,27869.45
12,18102,2010-12-01,27834.61
13,14096,2011-11-01,27827.78
14,14646,2011-09-01,26750.7
15,14646,2011-01-01,26476.68
16,14156,2011-07-01,26464.989999999998
17,14646,2011-11-01,25375.41
18,14646,2011-06-01,25288.99
19,16029,2011-10-01,24832.8
20,12415,2011-06-01,23426.81
21,15749,2011-01-01,22998.4
22,18102,2011-07-01,22949.76
23,14646,2011-02-01,22797.46
24,14911,2011-11-01,22720.73
25,12415,2011-08-01,21880.44
26,15749,2011-04-01,21535.9
27,14646,2011-03-01,21462.4
28,14911,2011-09-01,21271.97
29,17949,2011-06-01,21263.18
30,15061,2010-12-01,19950.66
31,14156,2011-09-01,19723.52
32,16684,2011-10-01,19180.9
33,14096,2011-10-01,19114.329999999998
34,17450,2011-01-01,18620.2
35,14911,2011-10-01,18416.39
36,18102,2011-05-01,18165.74
37,17450,2011-05-01,18025.68
38,14088,2011-11-01,16851.61
39,14156,2011-01-01,16774.72
40,12415,2011-03-01,16726.84
41,12415,2011-10-01,16471.77
42,17450,2011-08-01,16119.460000000001
43,18102,2011-11-01,15331.08
44,12415,2011-02-01,14022.92
45,17511,2011-11-01,13522.22
46,17450,2011-03-01,13500.5
47,14911,2011-07-01,13463.58
48,16029,2010-12-01,13112.52
49,15769,2011-03-01,12992.4
50,12415,2011-05-01,12691.16
51,12536,2011-10-01,12601.830000000002
52,16000,2011-12-01,12393.7
53,17389,2011-11-01,12361.36
54,14911,2011-08-01,12095.49
55,14607,2011-10-01,11955.2
56,14646,2011-12-01,11728.02
57,17949,2011-07-01,11590.58
58,16029,2011-05-01,11496.51
59,18102,2011-12-01,11485.54
60,15838,2011-10-01,10992.96
61,12748,2011-11-01,10639.23
62,18102,2011-02-01,10535.48
63,16029,2011-08-01,10471.3
64,14911,2011-03-01,10452.18
65,14911,2011-06-01,10078.2
66,12590,2011-05-01,9864.26
67,14156,2011-06-01,9757.79
68,14156,2011-03-01,9744.619999999999
69,13694,2011-08-01,9708.39
70,14298,2011-04-01,9656.85
71,13081,2011-11-01,9467.26
72,14911,2011-05-01,9436.68
73,14096,2011-09-01,9264.86
74,14088,2011-07-01,9115.01
75,12678,2011-10-01,8947.96
76,14096,2011-12-01,8935.98
77,16684,2011-07-01,8807.56
78,14156,2011-02-01,8655.33
79,14298,2011-09-01,8645.62
80,14646,2010-12-01,8591.88
81,15769,2011-08-01,8489.0
82,17450,2011-07-01,8485.14
83,18139,2011-11-01,8438.34
84,17511,2011-08-01,8419.62
85,17511,2011-09-01,8229.92
86,12744,2011-04-01,8209.58
87,15482,2011-11-01,8191.46
88,16684,2011-11-01,8187.18
89,14088,2011-10-01,8132.31
90,13694,2011-03-01,8089.22
91,14088,2011-06-01,7843.09
